categoryId,imageLocation
meat-west-newam,Not Healthy\Meat\Western\Newamerican\newamerican 1.jpg
meat-west-newam,Not Healthy\Meat\Western\Newamerican\newamerican 2.jpg
meat-west-polish,Not Healthy\Meat\Western\Polish\polish 1.jpg
meat-west-russ,Not Healthy\Meat\Western\Russian\russian 1.jpg
meat-west-soul,Not Healthy\Meat\Western\Soulfood\soulfood 1.jpg
meat-west-soul,Not Healthy\Meat\Western\Soulfood\soulfood 2.jpg
meat-west-texmex,Not Healthy\Meat\Western\Tex-Mex\texmex 1.jpg
meat-west-texmex,Not Healthy\Meat\Western\Tex-Mex\texmex 2.jpg
meat-west-tradam,Not Healthy\Meat\Western\Tradamerican\tradamerican 1.jpg
meat-west-tradam,Not Healthy\Meat\Western\Tradamerican\tradamerican 2.jpg
sea-adv-turk,Not Healthy\Seafood\Adventurous\Turkish\turkish 1.jpg
sea-adv-turk,Not Healthy\Seafood\Adventurous\Turkish\turkish 2.jpg
sea-asian-jap,Not Healthy\Seafood\Asian\Japanese\japanese 1.jpg
sea-asian-jap,Not Healthy\Seafood\Asian\Japanese\japanese 2.jpg
sea-asian-sushi,Not Healthy\Seafood\Asian\Sushi\sushi 1.jpg
sea-asian-sushi,Not Healthy\Seafood\Asian\Sushi\sushi 2.jpg
sea-west-fishnc,Not Healthy\Seafood\Western\FishnChips\fishnchips 1.jpg
sea-west-fishnc,Not Healthy\Seafood\Western\FishnChips\fishnchips 2.jpg
sea-west-greek,Not Healthy\Seafood\Western\Greek\greek 1.jpg
sea-west-greek,Not Healthy\Seafood\Western\Greek\greek 2.jpg
sea-west-newam,Not Healthy\Seafood\Western\New American\new american seafood 1.JPG
sea-west-newam,Not Healthy\Seafood\Western\New American\new american seafood 2.jpg
sea-west-port,Not Healthy\Seafood\Western\Portuguese\portuguese 1.jpg
sea-west-port,Not Healthy\Seafood\Western\Portuguese\portuguese 2.jpg
veg-asian-hotpot,Not Healthy\Vegetables\Asian\Hotpot\hotpot 1.jpg
veg-asian-hotpot,Not Healthy\Vegetables\Asian\Hotpot\hotpot 2.jpg
veg-asian-indpak,Not Healthy\Vegetables\Asian\Indpak\indpak 1.JPG
veg-asian-indpak,Not Healthy\Vegetables\Asian\Indpak\indpak 2.jpg
veg-west-salad,Not Healthy\Vegetables\Western\Salad\salad 1.jpg
snack-bagels,Snack\Bagels\bagels 1.jpg
snack-bagels,Snack\Bagels\bagels 2.jpg
snack-baker,Snack\Bakeries\bakery 1.jpg
snack-baker,Snack\Bakeries\bakery 2.jpg
snack-cafe,Snack\Cafe\cafe 1.jpg
snack-cafe,Snack\Cafe\cafe 2.jpg
snack-csteak,Snack\Cheesesteaks\cheesesteaks 1.jpg
snack-csteak,Snack\Cheesesteaks\cheesesteaks 2.JPG
snack-wings,Snack\Chicken_Wings\wings 1.jpg
snack-wings,Snack\Chicken_Wings\wings 2.jpg
snack-crepe,Snack\Creperies\crepe 1.jpg
snack-crepe,Snack\Creperies\crepe 2.jpg
snack-deli,Snack\Delis\Delis 1.jpg
snack-deli,Snack\Delis\Delis 2.jpg
snack-dimsum,Snack\Dimsum\dimsum 1.jpg
snack-dimsum,Snack\Dimsum\dimsum 2.jpg
snack-donuts,Snack\Donuts\donuts 1.jpg
snack-donuts,Snack\Donuts\donuts 2.jpg
snack-fondue,Snack\Fondue\fondue 1.jpg
snack-foodtruck,Snack\Foodstands\food truck 1.jpg
snack-foodtruck,Snack\Foodstands\food truck 2.jpg
snack-hotdog,Snack\Hotdogs\hotdog 1.jpg
snack-hotdog,Snack\Hotdogs\hotdog 2.jpg
snack-juice,Snack\Juicebars\juice 1.jpg
snack-juice,Snack\Juicebars\juice 2.jpg
snack-sandwich,Snack\Sandwiches\sandwich 1.jpg
snack-sandwich,Snack\Sandwiches\sandwich 2.jpg
snack-soup,Snack\Soup\soup 1.jpg
snack-soup,Snack\Soup\soup 2.jpg
snack-tapas,Snack\Tapas\tapas 1.jpg
snack-tapas,Snack\Tapas\tapas 2.jpg
snack-tea,Snack\Tea\tea 1.jpg
snack-tea,Snack\Tea\tea 2.jpg
